"id","sentence1","sentence2","similarity"
"d081d2e6a58be64d7edcf1a4f","those who ignore history are doomed to repeat it.","ooo strike TWO those who ignore history are doomed to repeat it.",4.2
"a463d265c29a31d7f16d395d3","Also in Mosul, rebel gunmen on Friday assassinated a Sunni Muslim tribal leader who backed the coalition.","Near a mosque in the northern town of Mosul, rebel gunmen also assassinated a Sunni Muslim tribal leader who backed the coalition.",4.6
"7db7b1c079319cdde9acb6b6a","A woman splits garlic cloves.","A woman is breaking a head of garlic into cloves.",4.6
"6cc392351fde45ffd30747977","Nobel Prize winning author Doris Lessing dies","Nobel laureate Doris Lessing dies at 94",4.6
"68f851d412641f73dfbd90aac","The shooting victim was taken to Kings County Hospital Center, where he later died, the police said.","The victim, who was not identified, was taken to Kings County Hospital where he was pronounced dead.",4.333
"14496245616cac9c477900633","U.S. District Judge Edmund Sargus ruled that the Akron-based company should have determined that changes at one of its plants would increase overall pollution emissions.","FirstEnergy Corp. should have determined that modernizing one of its plants would increase overall pollution emissions, U.S. District Judge Edmund Sargus ruled Thursday.",3.6
"75d09f96e7f92a57e4b65d3e6","It depends on what you want to do next, and where you want to do it.","It depends on what and where you are going to do.",4
"55d812d1b63222879a2022c48","A man dives into a pool.","A man is diving into a pool.",5
"6251aa65604a22ed851035fe9","A little boy clowns with a colander on his head.","A boy with a metal colander on his head.",4.2
"781d9ddccc8e4b846c5243335","A man with a hard hat is dancing.","A man wearing a hard hat is dancing.",5
"b6d73b37035c2f84c038b3574","State police said as many as 30 workers were trapped immediately after the garage collapsed.","As many as 30 people were believed to be trapped inside initially, the state police said.",4
"1c77276e6cd38039eb773c546","Garner said the self-proclaimed mayor of Baghdad, Mohammed Mohsen al-Zubaidi, was released after two days in coalition custody.","Garner said self-proclaimed Baghdad mayor Mohammed Mohsen Zubaidi was released 48 hours after his detention in late April.",4.25
"14dae3d300d8b5dc7180db457","You do not need to worry.","You don't have to worry.",5
"36505ea99561f48d91cd3e940","Powerful quake strikes off eastern Indonesia","6.6-mag quake strikes off eastern Indonesia",4
"40ed030173da28dcf04120224","Murray ends 77-year wait for British win","Murray wins Wimbledon title ends Britains 77year agony",5
"c14b1bc2bc962a9cd03dffaf9","Security experts are warning that a new mass-mailing worm is spreading widely across the Internet, sometimes posing as e-mail from the Microsoft founder.","A new worm has been spreading rapidly across the Internet, sometimes pretending to be an e-mail from Microsoft Chairman Bill Gates, antivirus vendors said Monday.",4.8
"f17753105ae0325f26cdb795f","MERS respiratory illness found in U.S., officials confirm","First case of MERS, a SARS-like respiratory illness, reported in North America",4.2
"5b5e9b1f6aff31abfe16b81ef","""We do not want to stand by and let a credit card lynching take place,"" declared Rep. Major Owens (D-Brooklyn).","""We don't want to stand by and see a credit card lynching take place,"" he said.",3.5
"5de7498df708c8ce04599664d","India, China ink border pact; 8 other agreements","India, China ink agreement on trans-border rivers",3.8
"a3e317955c0215e4e5bba5b26","Mursi takes oath of office, becomes Egyptian president","Morsi to take oath as first Egypt civilian president",3.8
"57d7cd8b583f7716a00b0c456","Three dogs are playing in the water.","Three dogs swim in the water.",4.2
"5bafa4196aaac8648097b3b97","The white sheep is standing on the green hill.","A sheep stands on a hillside.",4
"1cd02dbc1ff161529d01cd8af","Ms Lafferty's lawyer, Thomas Ezzell, told a Kentucky newspaper: ""My understanding of this is that there is a lower percentage of successful impregnations with frozen.","""My understanding of this is that there is a lower percentage of successful impregnations with frozen,"" Ezzell said.",3.6
"a354b92809dac75b2572fdc79","Five killed in Belgian coach crash","Teenagers among 5 dead in Belgian bus crash",3.8
"dbc5250605fa85a5a1d060328","Druce will face murder charges, Conte said.","Conte said Druce will be charged with murder.",5
"3129f0e614003c26723f18b2a","Pro-Russians forces enter Ukrainian naval base in Crimea","Crimean forces storm Ukrainian navy headquarters",3.8
"2f2529c55c56eb3197b2976e4","The leading actress nod went to energetic newcomer Marissa Jaret Winokur as Edna's daughter Tracy.","Marissa Jaret Winokur, as Tracy, won for best actress in a musical.",4
"d53167c93fa758da569381a8b","Janet Yellen to become first woman to lead the Federal Reserve","US Senate confirms Janet Yellen as US Federal Reserve chief",4.6
"8fad2db9f1c7825dafea3d151","Federal DOMA does not test the full faith and credit clause so much as the 9th and 10th Amendments to the Constitution.","DOMA as a congressional statute could not violate the Full Faith and Credit Clause of the Constitution.",4
"2a0db8950fc6c9dba0f3042da","AstraZeneca pays $4.1bn to buy Bristol-Myers Squibb out of diabetes alliance","AstraZeneca to buy Bristol out of diabetes venture for up to $4.1 billion",5
"1921569d29dfd0b81366bd294","The injured were taken to hospitals in Jefferson City and Columbia, a college town about 30 miles to the north.","The injured were taken to hospitals in Jefferson City and Columbia, about 48km north; their conditions were not immediately available.",4
"54d4043437894d1c43992e00c","Black train on train tracks.","A train on the train tracks.",4.1
"2baf1343db922c5327948213f","Two dogs and one cat sitting on couch.","Two dogs and a cat resting on a couch.",4.6
"9475d2b34318d7c6d9b178d82","The man hit the other man with a stick.","The man spanked the other man with a stick.",4.2
"db26923f193d0500fe083f358","A young child is riding a horse.","A child is riding a horse.",4.75
"3cd61f8a16dd5c293ff988690","Romney vows to restore 'promise of America'","Romney Promises to 'Restore America'",3.8
"b45f4a2be7b6dd26ad0d0165b","Smiling man with reflective classes.","A gentleman smiling and showing his reflective sunglasses.",4.6
"7b6c924a492838c1c77027307","""It just seems like all the issues that we support, he doesn't,"" said Gabriela Lemus of LULAC.","""It just seems like all the issues that we support he doesn't,"" said Gabriela Lemus, the league's director of policy and legislation.",4.2
"2ee5ef46e02320a6a1c229673","They later fell out and have backed a series of rival Congolese militias in recent years.","The two invading countries later fell out, and have since backed rival factions.",3.5
"5ea046bf404d85f6cf9020519","Cisco executives said they were encouraged by $1.3 billion in cash flow and the increase in net income, but hoped for a rebound.","Cisco executives were encouraged by $1.3 billion in cash flow and the increase in net income, but said they remained ``cautiously optimistic'' about a rebound.",4.6
"9299f13339a90d368d16c159e","Singapore is already the United States' 12th-largest trading partner, with two-way trade totaling more than $34 billion.","Although a small city-state, Singapore is the 12th-largest trading partner of the United States, with trade volume of $33.4 billion last year.",3.8
"5b95c56b7ca00112f4e871387","The Nasdaq composite index rose 13.70, or 0.8 per cent, to 1700.34.","The technology-laced Nasdaq Composite Index .IXIC gained 13.73 points, or 0.81 percent, to finish at 1,700.34.",3.75
"aaa90a90c58345ccbe85d3490","Brazil's 'pop-star priest' gets mammoth new stage","Brazil's 'Pop-Star Priest' Gets Mammoth New Stage",5
"4358c28d85f262876e8d605b8","Two gray dogs run together over the green grass.","Two grey dogs running in green grass.",4.6
"f1c2ae75ebf008e8c6e7e19de","A jury convicted rapper C-Murder, also known as Corey Miller, of second-degree murder Tuesday night in the shooting death of a 16-year-old in a Jefferson Parish nightclub.","Rapper C-Murder has been convicted of second-degree murder, a crime that carries an automatic life sentence, in the shooting death of a 16-year-old inside a Jefferson Parish nightclub.",3.6
"229f9d83841a747001d84b298","Sendmail said the system can even be set up to permit business-only usage.","The product can be instructed to permit business-only use, according to Sendmail.",5
"f846b1ca876e7ea768a7cd714","Matt Smith to leave Doctor Who after 4 years","Matt Smith quits BBC’s Doctor Who",4
"000aa7b23feb9daed38ae9a14","two puppies playing around in the grass","Two dogs are wrestling in the grass.",4
"1b749575fcfdc922123877e9f","Chechen officials working for the Moscow-backed government are a frequent target for rebels and tension is running high ahead of next Sunday's presidential election in war-torn Chechnya.","Officials in Chechnya's Moscow-backed government are a frequent target for rebels, and tension is running high ahead of Sunday's presidential election in the war-ravaged region.",4.75
"4df7937a275d8df234cf078ed","Two blasts hit Syria capital","Two blasts rock Syrian capital",4.8
"7b92a108282b121ce891a25a3","They found molecules that can only be produced when ozone breaks down cholesterol.","And all of the samples contained molecules that can only be produced when cholesterol interacts with ozone.",4.25
"fe3fc2354cc35140bffc94004","Two white dogs are walking through deep white snow.","Two white dogs walk through a huge bank of mountain snow.",4.6
"cb0eae51118269ff0829f78a1","Two dogs run side-by-side on the grass.","Two dogs running on grass.",4.4
"0504602fa097fadc4f7c839f4","A women standing next to a brown cow.","A women in glasses stands next to a cow in a field.",3.8
"631336c5b8fa6c106f934205e","Venezuela lawmakers brawl amid election tensions","Venezuela lawmakers brawl over election",5
"0fd69da41269a565499eeaf89","A young person  deep in thought.","A young man deep in thought.",4.6
"0f395e048a46776d701d18100","A woman is chopping up garlic.","The woman is dicing garlic.",4.8
"8fd68f765a050f9b72e9300c2","A woman is frying fish.","A woman is cooking fish.",4
"8ec0390cee29c18aecc2cb5e9","North Korea conducts third nuclear test","North Korea Confirms Third Nuclear Test",4.6
"13af89a94b731cbbbfce8c93a","The argument was ""Albert Einstein didn't go to college"".","OMG, ""Einstein didn't go to college.""",4.2
"8d37dfb5eecacfddcd8fcd88b","The California Farm Bureau did not immediately return calls seeking comment.","The California Farm Bureau did not immediately have an official response to Tuesday's ruling.",3.8
"40acb44efbc15042742fc387f","the mexican government has adopted a series of measures against drug trafficking and organized crime within mexico since 2006. ","since 2006 mexico has adopted a series of measures against drug trafficking and organized crimes.",5
"ee0a587d11cc1ad3f7a4d7b25","North Korea says to put US citizen on trial","North Korea says detained American tourist to face trial",5
"0594568f5753e1da682583648","BOSTON The Catholic archdiocese in Boston has offered $55 million to settle more than 500 clergy sex abuse lawsuits, according to a document obtained by The Associated Press.","The American Roman Catholic archdiocese of Boston has offered $55 million to settle more than 500 sex abuse lawsuits involving priests.",3.6
"d0464ee30e0be44f332030e33","jewish-american group the anti-defamation league (adl) published full-page advertisements in swiss and international papers in april 2008 accusing switzerland of funding terrorism through the deal. ","the anti-defamation league took out full-page advertisments in swiss and international newspapers earlier in april 2008 accusing switzerland of funding terrorism through the deal.",4.4
"0f299d9e41e907e68c8c46c47","A person is rinsing a steak off with water.","A man is rinsing a large steak.",3.929
"c7cbf26205263403ba49cb616","When fully operational, the facility is expected to employ up to 1,000 people.","The plant would employ 1,000 people when fully built out, the company said.",4
"f351d8b13776578e4386deb82","A man is standing next to a yellow sports car.","A man stands next to a yellow Corvette.",4
"fd5ca75e7a72a457eefce80fe","The rule - When in doubt throw it out!","I always go by the rule ""When in doubt, throw it out!",4
"e9cda917a48cd17569f4fa063","A black and white photo of a dilapidated wooden fence.","A black and white photo of an old wooden fence near a dirty street.",4.5
"1226f19f0b0295b4ce2a73ab8","Customers that pay the $1,219 entrance fee get SMS 2003 with 10 device client access licenses.","Retail pricing for SMS 2003 with 10 device client access licenses is $1,219.",4.333
"fd8d47c79da40d94d0eb1e67d","A puppy is sliding backwards along the floor.","A puppy is pushing itself backwards.",3.8
"033609614954c30839250eba3","""She was crying and scared,' said Isa Yasin, the owner of the store.","""She was crying and she was really scared,"" said Yasin.",3.8
"c2ad2a16e807605c9a6061ba2","The hearing occurred a day after the Pentagon for the first time singled out an officer, Dallager, for not addressing the scandal.","The hearing came one day after the Pentagon for the first time singled out an officer - Dallager - for failing to address the scandal.",5
"ee6faa5c4fd6172f7a1bd9892","I've had this same problem.","I had this problem before.",4
"0eab0362e2beb882ad8af8b67","A man plays a guitar.","A man is playing a guitar.",5
"79f5687baf254f07753c9b313","A man is feeding a mouse to a snake.","The man is feeding a mouse to the snake.",5
"3388135069ad419dc5135bc4f","vietnam has among the world's harshest drug laws. ","vietnam's drug laws are among the world's strictest laws.",4.8
"e97325ea9e899a50a80e1390c","A cruise liner docked at the shoreline.","A cruise ship docked at shore.",4.4
"7c243445a5211ae7800e8c870","Young woman in riding gear on top of horse.","The woman is riding on the brown horse.",3.8
"692dbf3acd8850fe70dd6472b","A person is writing.","A person is writing with a pencil.",3.6
"d1c1bc8570c73b40680832833","Libya postpones assembly election to July 7","Libya postpones landmark election to July 7",4
"c2881410466a44675cfa81e24","Egyptian court bans Muslim Brotherhood","Egypt court bans Muslim Brotherhood 'activities'",3.8
"f7775dcbcecc3d2dcde92ac71","Ha, ha, ha, ha, ha, ha!","Ah ha, ha, ha, ha, ha!",5
"bd7fe68f9940bc917f0ee4418","Thousands evacuated in Moscow metro fire","Thousands evacuated after fire breaks out in Moscow Metro",4.8
"d368767e372116127aac5c454","Has Annie ever used her sexuality like that?","One word: Zombies Has Annie ever used her sexuality like that?",3.8
"91eba4b2d6029ea8164f8c8ab","The man spread butter on the loaf of bread.","A man is spreading butter onto bread.",4
"38232fa9a2d39395ee00bb7ba","A man is fitting silencer on a pistol.","A man is adding a silencer to a gun.",4.5
"fd679df967223c72382c74131","One woman is measuring another woman's ankle.","A woman measures another woman's ankle.",5
"d955ef1fafa147b971a17e56c","The lady sliced a tomatoe.","Someone is cutting a tomato.",4
"3f9d86b139101c6c7fa4fc710","Protesters topple Lenin statue in Kiev","Ukraine protesters topple Lenin statue in Kiev",4.4
"6c3ae62823ef9456f94b9bf15","The rule bars groups from airing ads that promote, support, attack or oppose a candidate at any time.","It upheld fallback rules that bar the same groups from airing ads that promote, support, attack or oppose a candidate at any time.",3.75
"1fdbfdba148ca989d9098db29","New World Trade Center declared tallest building in U.S.","One World Trade Center Named Tallest US Building",4.2
"ceee8a5c78d17b11e8cacaea8","It is perfectly okay to ask for the figure knowing well that the other person may not give.","You can always ask, then it is the choice of the author to accept or not.",3.6
"f6009a53697aca632a22adb7c","In January 2000, notebooks represented less than 25 percent of sales volume.","That compares with January 2000, when laptops represented less than 25 percent of sales volume, NPD said.",4
"2b50fe30a065ef8dbafe374b6","Microsoft's Surface a big bet on future: Analysts","Microsoft's Surface tablet promising, but questions remain",3.8
"132bf4ce00378d08192fb6e39","Person with two ski poles skiing down a snowy hill.","A person skiing down a snowy hill.",4.2
"d2f73d5bc2ed72a52ad297519","Car bomb at Swedish consulate in Libya's Benghazi, no casualties","Car Bomb Hits Swedish Consulate in Benghazi, None Hurt",5
"ba9e28fad77be0fcfd7caca00","The dog is running through a field.","A dog runs through a field.",4.8
"a182edd09d314a6795c7ee3c4","A woman is playing the flute.","A girl is playing a flute.",3.8
"2de62fa4de01abb1dfbded7ec","US Capitol Hill on lockdown after shots fired","Watch live: US Capitol on lockdown after reports of shots fired",4.8
"8ea341710b737166f9265b981","Tokyo to host 2020 Olympic Games","Tokyo wins race to host 2020 Olympics",4.2
"b01c00294b2323129818db1d1","Officials at Brandeis said this was an ""extremely heartrending"" time for the campus.","""This is an extremely heartrending time for the entire Brandeis University community.",4.4
"c4c4b1aaa954c4bfd1ed24a50","estonian officials stated that some of the cyber attacks that caused estonian government websites to shut down temporarily came from computers in the administration of russia including in the office of president vladimir putin. ","officials in estonia including prime minister andrus ansip have claimed that some of the cyber attacks came from russian government computers including computers in the office of russian president vladimir putin.",3.8
"e8083e9b430ea6125a9af709f","A few more point to think about:","A few things to think about:",5
"4d014b2513d7607b194814e16","Crash of Malaysia Airlines Flight MH17 in Eastern Ukraine","Malaysia Airlines plane crashes on Ukraine-Russia border",4
"955d8c3b000910fa80e4da310","Assad says Syria will comply with UN arms resolution","Syria's Assad vows to comply with U.N. resolution",4.8
"515c3797d20ee0d32d26c4365","But price declines have remained below 30 percent, year over year, for the last two quarters, said IDC analyst John McArthur.","McArthur told internetnews.com price declines have moderated and remained below 30 percent from the previous year for the last two quarters.",3.75
"f3ad0d1c75f6562bc7e403ae2","The white and brown dog runs across the grass.","A brown and white dog runs across the grass.",4.8
"18625ebccd1ec71fc3335ef9c","Two cats sitting on a couch looking out the window.","Two cats are looking at a window.",3.6
"e5d444f714fe32b822044954d","Iran Nuclear Talks Enter Third Day","Iran nuclear talks enter crucial third day",5
"26aefa51a173fad63a986d1ca","Ah ha, ha, ha, ha, ha!","Ha, ha, ha, ha, ha, ha!",4.5
"bc631440b5c2dae12ef79606e","A chicken is pecking at a dead mouse.","A rooster pecks at a dead mouse.",3.6
"6148a7cf55283c3db071a41cc","not a constitutional issue.","again, this is not a constitutional issue.",4.4
"c1e3a3056e8f1f3cd9a5fccb4","Two Asian men and Asian woman sit in black massage chairs.","Two Asian men and a woman are relaxing in massage chairs.",4.6
"fdb38b483ae029e78c19f0821","Holly Holy We are all vessels filled with many wonders.","Say What You Will We are all vessels filled with many wonders.",3.8
"6e06d99db52a35e4357bec70f","Fast Picture Viewer has an extensive pack for the low price of $9.99 and it appears to cover them all.","Fast Picture Viewer is $9.99 and works just fine on 64-bit Windows 7 (I'm using it myself).",3.8
"269d3082da4a4e4c24073f8d7","Minn. terminal reopens after evacuation","Minn. Terminal Reopens After Bag Causes Evacuation",3.8
"a84a2071b734adb3d1dbdc139","Bone fragment 'could be King Alfred'","Remains in Winchester could be King Alfred the Great",4.6
"5d70f14ee65991fca9a600c50","The new policy gives greatest weight to grades, test scores and a student's high school curriculum.","Academic achievement -- including grades, test scores and high school curriculum -- are given the highest priority.",4.5
"e2552c54577ded9e815f77848","The companies, Chiron and Aventis Pasteur, together made about 80 million doses of the injected vaccine, which ordinarily would have been enough to meet U.S. demand.","Chiron and Aventis Pasteur together made about 80 million doses, ordinarily enough for U.S. demand, The Associated Press reported.",4.4
"6c91a7703909df21785a2937b","santos stated the radioactive material was the primary basis for generating crude weapons of mass destruction and terrorism. ","uranium is a radioactive material which is the primary basis for generating dirty weapons of mass destruction and terrorism.",3.6
"d4ec6110ce1f336901b9c480e","The Face Of The Franchise: The worst part is that he's not even a Leafs fan!","The worst part is that he's not even a Leafs fan!",4.4
"872d5a412848e32ecd3ae9e5b","A lady is running her dog through an agility course.","Trainer runs her dog through training course with green pipe",4.2
"9af2d733a7d6a7f985bd558c7","A red and white plane flying on a sunny day.","Red and white plane flying through the air.",4.2
"d0fe0fb84a3f256ad08d1ed64","The woman is walking her dog.","A woman walks her dog down the street.",4
"22689dd04c8c8e82ad2d70727","A dog splashing in the water.","A dog splashes in the murky water.",4
"fc9f46272c6e27b57893eb15c","Chera Larkins, 32, of Manhattan, charged with three sham marriages, is also charged with perjury and filing a false instrument.","Chera Larkins, 32, of Manhattan, charged with perjury and filing a false instrument in three marriage applications.",4.6
"4292ac6a565a78ea4487c131b","Protesters clash with police in Caracas","Protesters Clash with Police in Brazil",3.8
"c516c7486b81d33d8b229d3b9","Tell us what the charges were.","Yes what are his charges.",4
"da950e63e45e1cfb1516c7f19","Red double decker bus with hood open.","An old Red London double decker bus with its hood raised.",4.2
"34ced9c4d46e7e87fa7889b2c","""Now, the other guy, he's ashamed of his party,"" Street said to crowd laughter.","""The other guy, he's ashamed of his party, and I don't blame him.",3.5
"35a13f2dd75fdeb1085a42a66","Thanks to the euro's rise against the Japanese currency, the dollar was at 117.24 yen, well above the overnight 10-month low of 116 yen.","The euro's rise against the yen and speculation of Japanese intervention helped the dollar firm to 117.25 yen , well above a 10-month low of 116 yen hit on Thursday.",4.25
"3f4a2bb4a97ec482cb76a9827","Eurozone backs Greek bailout","Eurozone agrees Greece bail-out",4.8
"c6cd61b06a5d937c49a92db70","EU Set for New Sanctions on Iran","EU plans major new sanctions against Iran",4.4
"52861ec0af14461186e389fde","Iraq searches Syria bound Iran plane: officials","Iraq searches Syrian-bound Iranian plane",4.2
"0d760e2ad3383f88a7c0468a9","Driver backs into stroller with child, drives off","Driver backs into mom, stroller with child then drives off",4
"151a1f2f408e5f45f69a94f0a","Selenski had previously spent seven years in prison on a bank robbery conviction.","Selenski had served about seven years in prison for bank robbery.",4.571
"9bd716cc0df28dfc723e213f3","Three dogs pulling a man on a bicycle through the snow.","The dogs are pulling a man on a type of bike, through the snow.",5
"fea060db60b66ce8a6800619a","Who supposedly operated the homicidal gas chambers?","Refresh your memory: Who supposedly operated the homicidal gas chambers?",4.8
"128de2bfaaadca048d9802824","""Today, we are trying to convey this problem to Russian President Vladimir Putin and US President George W Bush.""","""Today, we are trying to convey this problem to Russian President Vladimir Putin (news - web sites) and President Bush (news - web sites).""",4.6
"2af5c23b0a53321d17e48e56f","""There is no doubt about the chemical programme, biological programme, indeed nuclear programme, indeed all that was documented by the UN,"" he said.","He added: ""There is no doubt about the chemical programme, the biological programme and indeed the nuclear weapons programme.",3.8
"04d3ccef972db8025f09ada20","A dark brown horse standing in a field.","Horse standing in a field.",3.6
"4cfe337683a1a0262f9db8739","Oh, and again asserts that marriage is a fundamental human right.","Particularly after stating that marriage is a fundamental human right.",4
"7af6e71701cc18fdb2b9be347","Asian markets hit 3-wk high on hopes of US debt deal","Asian stocks hit three-week highs on hopes of U.S. debt deal",4.8
"b86fe77ef8fba4d82840fdb20","Two cats are close together inside and black and white furry enclosure.","Two baby kittens are sitting inside a cow-schemed, fur-covered dome.",3.6
"91eaf011bcdbb6348c7071c6c","SUVs parked on residential streets in Monrovia were tagged with ""ELF"" and other slogans, and another was set ablaze in front of a house, Sgt. Tom Wright said.","Several SUVs parked on residential streets in Monrovia were tagged with ``ELF'' and other slogans, said Sgt. Tom Wright.",3.5
"d23bcecf6b3b380388430aae6","Two zebras are playing.","Zebras are socializing.",4.25
"adea3cbec4fb80cba22b56820","Massive Hurricane Sandy bears down on U.S. East Coast","Hurricane Sandy takes aim at US East Coast",4.4
"f44431788e00b384efe700ff6","a small bird sitting on a branch in winter.","A small bird perched on an icy branch.",4.2
"e3c768dbee930446dca849114","Dhawan smashes India to big win over South Africa","Dhawan ton sets up India Trophy win over South Africa",4.2
"41548e79ceba4dd95ea649f6d","Two dogs are running through the grass near a house and trees.","Two dogs are running through a green yard",4.2
"9d2e55a25d5775e8041ce352a","But other sources close to the sale said Vivendi was keeping the door open to further bids and hoped to see bidders interested in individual assets team up.","But other sources close to the sale said Vivendi was keeping the door open for further bids in the next day or two.",4
"758caa9a92f25d3ef94418158","A sad man is jumping over a small stream to meet his companion on the other side.","A man is jumping over a stream to meet his companion on the other side.",3.8
"5a7b9ab6169044383fddb6a1e","EU receives Nobel Peace Prize","EU Receives 2012 Nobel Peace Prize",3.6
"9c14b3fa06ed486b1ec02853b","The woman is frying a breaded pork chop.","A woman is cooking a breaded pork chop.",4.2
"76dc0241c58890e94ded23b46","New Zealand set to legalise gay marriage","New Zealand votes to legalise same-sex marriage",4.4
"0aa52ec6438d9ff3ad20176f2","General Electric posts 9% profit drop for third quarter","GE posts 9% profit drop for third quarter",5
"ac13edee393fb2ac7f0c10f39","A monkey pushes another monkey.","The monkey pushed the other monkey.",4.8
"4bf99fbd2f24b31d3416ae430","A kangroo is eating something.","A kangaroo is eating.",4.8
"968cffe5a9593988d4b059e92","the iranian government denied the accusation and insists the nuclear program is for peaceful purposes only. ","iran insists that its nuclear program is for peaceful purposes",4
"54733e4180cdbe851217cd39f","Russia warns it will respond if interests attacked in Ukraine","Russia warns it will 'respond' if interests in Ukraine attacked",5
"b8c1014463d25df861281772c","Ukraine to implement unilateral ceasefire","Ukraine offers unilateral ceasefire",4.8
"a3d072ee6ee250ce2fe6046b9","Train going down the tracks.","Train gliding on tracks.",4.6
"46ac266e814f03386a6a05994","A woman is grating onion.","A woman grates onions.",5
"4685e280357e9569e634a7fe2","A small brown birds is eating from a bird feeder hanging from a tree.","A small bird perches on the bird feeder hanging from the tree.",3.8
"42f80162b1cff8a9cd9fd8c81","You can do it, too.","Yes, you can do it.",5
"96254baf3d68586b39cb325c0","Syria military police chief defects to opposition","Syria military police chief defects to rebels",5
"2b37733c0756a08e8983f3ad6","The train sits at the train station.","The blue train is at the station.",4
"02baad8ac7789a91c27eafaaf","A cheetah is running.","A cheetah is running across a field.",3.8
"2e62ca1aff3b8bcce671e71c7","Putin claims victory in Russia's presidential election","Putin wins disputed Russian presidential election",4.4
"2cb445eaca903f04007d93ea0","China stocks end lower Thursday","China stocks close lower on Thursday",5
